Statistical profiling result from isolate-0x55af5fde7000-v8.log, (395389 ticks, 21866 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Stub: RecordWriteStub {24}
      1    0.0%    0.0%  Stub: RecordWriteStub {23}
      1    0.0%    0.0%  Stub: RecordWriteStub {22}
      1    0.0%    0.0%  Stub: RecordWriteStub {20}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {19}
      1    0.0%    0.0%  Stub: RecordWriteStub {18}
      1    0.0%    0.0%  Stub: RecordWriteStub {16}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: LoadFieldStub {9}
      1    0.0%    0.0%  Stub: LoadFieldStub {8}
      1    0.0%    0.0%  Stub: LoadFieldStub {5}
      1    0.0%    0.0%  Stub: LoadFieldStub {4}
      1    0.0%    0.0%  Stub: LoadFieldStub {13}
      1    0.0%    0.0%  Stub: LoadFieldStub {12}
      1    0.0%    0.0%  Stub: LoadFieldStub {11}
      1    0.0%    0.0%  Stub: LoadFastElementStub {2}
      1    0.0%    0.0%  Stub: LoadFastElementStub {1}
      1    0.0%    0.0%  Stub: LoadFastElementStub
      1    0.0%    0.0%  Stub: InternalArrayConstructorStub
      1    0.0%    0.0%  Stub: FastNewClosureStub {1}
      1    0.0%    0.0%  Stub: CompareICStub {8}
      1    0.0%    0.0%  Stub: CompareICStub {2}
      1    0.0%    0.0%  Stub: CompareICStub {1}
      1    0.0%    0.0%  Stub: CompareICStub {12}
      1    0.0%    0.0%  Stub: CompareICStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub
      1    0.0%    0.0%  Stub: BinaryOpICStub {3}
      1    0.0%    0.0%  Stub: BinaryOpICStub {2}
      1    0.0%    0.0%  Stub: BinaryOpICStub
      1    0.0%    0.0%  Stub: ArrayConstructorStub
      1    0.0%    0.0%  RegExp: ^([a-z0-9.+-]+:)
      1    0.0%    0.0%  LazyCompile: ~without /home/root/node_modules/hapi/node_modules/joi/lib/types/object/index.js:467:12
      1    0.0%    0.0%  LazyCompile: ~type /home/root/node_modules/mimos/lib/index.js:66:9
      1    0.0%    0.0%  LazyCompile: ~tryPackage module.js:101:20
      1    0.0%    0.0%  LazyCompile: ~toString native string.js:30:24
      1    0.0%    0.0%  LazyCompile: ~shellsort /home/root/node_modules/nosql/utils.js:781:19
      1    0.0%    0.0%  LazyCompile: ~root.validate /home/root/node_modules/hapi/node_modules/joi/lib/index.js:126:30
      1    0.0%    0.0%  LazyCompile: ~remove internal/linkedlist.js:35:16
      1    0.0%    0.0%  LazyCompile: ~readBits /home/root/node_modules/bson/lib/bson/binary_parser.js:354:59
      1    0.0%    0.0%  LazyCompile: ~onwrite _stream_writable.js:355:17
      1    0.0%    0.0%  LazyCompile: ~ondata _stream_readable.js:552:18
      1    0.0%    0.0%  LazyCompile: ~onParserExecuteCommon _http_server.js:380:33
      1    0.0%    0.0%  LazyCompile: ~normalizeEncoding internal/util.js:141:55
      1    0.0%    0.0%  LazyCompile: ~isAbsolute path.js:1220:34
      1    0.0%    0.0%  LazyCompile: ~internals.root /home/root/node_modules/podium/node_modules/joi/lib/index.js:27:27
      1    0.0%    0.0%  LazyCompile: ~internals.map /home/root/node_modules/accept/lib/encoding.js:122:26
      1    0.0%    0.0%  LazyCompile: ~internals.handler /home/root/node_modules/hapi/lib/handler.js:73:30
      1    0.0%    0.0%  LazyCompile: ~internals.generate /home/root/node_modules/hapi/node_modules/joi/lib/types/string/rfc3986.js:13:31
      1    0.0%    0.0%  LazyCompile: ~internals.concatSettings /home/root/node_modules/hapi/node_modules/joi/lib/types/any/index.js:884:37
      1    0.0%    0.0%  LazyCompile: ~internals.Topo.add /home/root/node_modules/topo/lib/index.js:20:41
      1    0.0%    0.0%  LazyCompile: ~internals.Router.route /home/root/node_modules/call/lib/index.js:88:45
      1    0.0%    0.0%  LazyCompile: ~internals.Request._match /home/root/node_modules/hapi/lib/request.js:345:47
      1    0.0%    0.0%  LazyCompile: ~internals.Request /home/root/node_modules/hapi/lib/request.js:61:30
      1    0.0%    0.0%  LazyCompile: ~internals.Podium._emit /home/root/node_modules/podium/lib/index.js:133:45
      1    0.0%    0.0%  LazyCompile: ~internals.Compression.accept /home/root/node_modules/hapi/lib/compression.js:48:51
      1    0.0%    0.0%  LazyCompile: ~hrtime internal/process.js:86:35
      1    0.0%    0.0%  LazyCompile: ~hasOwnProperty module.js:18:24
      1    0.0%    0.0%  LazyCompile: ~g events.js:288:13
      1    0.0%    0.0%  LazyCompile: ~fs.readFileSync fs.js:496:27
      1    0.0%    0.0%  LazyCompile: ~fs.openSync fs.js:639:23
      1    0.0%    0.0%  LazyCompile: ~fs.lstatSync fs.js:1001:24
      1    0.0%    0.0%  LazyCompile: ~fromString buffer.js:186:20
      1    0.0%    0.0%  LazyCompile: ~forEach native array.js:954:22
      1    0.0%    0.0%  LazyCompile: ~forEach /home/root/node_modules/hapi/lib/route.js:114:55
      1    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:758:14
      1    0.0%    0.0%  LazyCompile: ~finalize /home/root/node_modules/hapi/lib/handler.js:76:22
      1    0.0%    0.0%  LazyCompile: ~filter native array.js:927:21
      1    0.0%    0.0%  LazyCompile: ~exports.setImmediate timers.js:697:32
      1    0.0%    0.0%  LazyCompile: ~exports.serial /home/root/node_modules/items/lib/index.js:11:27
      1    0.0%    0.0%  LazyCompile: ~exports.schema /home/root/node_modules/hapi/node_modules/joi/lib/cast.js:16:27
      1    0.0%    0.0%  LazyCompile: ~exports.inherits util.js:952:28
      1    0.0%    0.0%  LazyCompile: ~exports.apply /home/root/node_modules/hapi/lib/schema.js:14:26
      1    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:109:32
      1    0.0%    0.0%  LazyCompile: ~exports._extend util.js:970:27
      1    0.0%    0.0%  LazyCompile: ~exec native regexp.js:116:30
      1    0.0%    0.0%  LazyCompile: ~each /home/root/node_modules/podium/lib/index.js:205:18
      1    0.0%    0.0%  LazyCompile: ~each /home/root/node_modules/podium/lib/index.js:197:22
      1    0.0%    0.0%  LazyCompile: ~clone /home/root/node_modules/statehood/node_modules/joi/lib/types/any/index.js:93:10
      1    0.0%    0.0%  LazyCompile: ~clone /home/root/node_modules/podium/node_modules/joi/lib/types/any/index.js:93:10
      1    0.0%    0.0%  LazyCompile: ~clone /home/root/node_modules/hapi-swagger/node_modules/joi/lib/types/any/index.js:98:10
      1    0.0%    0.0%  LazyCompile: ~checkIsHttpToken _http_common.js:267:26
      1    0.0%    0.0%  LazyCompile: ~checkInvalidHeaderChar _http_common.js:303:32
      1    0.0%    0.0%  LazyCompile: ~charCodeAt native string.js:50:28
      1    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:343:20
      1    0.0%    0.0%  LazyCompile: ~basename path.js:1373:30
      1    0.0%    0.0%  LazyCompile: ~assertPath path.js:5:20
      1    0.0%    0.0%  LazyCompile: ~_shellInsertionSort /home/root/node_modules/nosql/utils.js:768:29
      1    0.0%    0.0%  LazyCompile: ~_checkItems /home/root/node_modules/hapi/node_modules/joi/lib/types/array/index.js:98:16
      1    0.0%    0.0%  LazyCompile: ~_base /home/root/node_modules/vision/node_modules/joi/lib/types/object/index.js:30:10
      1    0.0%    0.0%  LazyCompile: ~_base /home/root/node_modules/podium/node_modules/joi/lib/types/object/index.js:30:10
